what are the rivers of montana ?	"_answer ( A , ( _river ( A ) , _loc ( A , B ) , _const ( B , _stateid ( montana ) ) ) )"
what is the longest river in pennsylvania ?	"_answer ( A , _longest ( A , ( _river ( A ) , _loc ( A , B ) , _const ( B , _stateid ( pennsylvania ) ) ) ) )"
what is the highest point in rhode island ?	"_answer ( A , _highest ( A , ( _place ( A ) , _loc ( A , B ) , _const ( B , _stateid ( ' rhode island ' ) ) ) ) )"
what is the density of texas ?	"_answer ( A , ( _density ( B , A ) , _const ( B , _stateid ( texas ) ) ) )"
what states border ohio ?	"_answer ( A , ( _state ( A ) , _next_to ( A , B ) , _const ( B , _stateid ( ohio ) ) ) )"
what is the longest river that flows through colorado ?	"_answer ( A , _longest ( A , ( _river ( A ) , _traverse ( A , B ) , _const ( B , _stateid ( colorado ) ) ) ) )"
what states have cities named austin ?	"_answer ( A , ( _state ( A ) , _loc ( B , A ) , _city ( B ) , _const ( B , _cityid ( austin , _ ) ) ) )"
what is the biggest state in the usa ?	"_answer ( A , _largest ( A , ( _state ( A ) , _loc ( A , B ) , _const ( B , _countryid ( usa ) ) ) ) )"
what is the shortest river in nebraska ?	"_answer ( A , _shortest ( A , ( _river ( A ) , _loc ( A , B ) , _const ( B , _stateid ( nebraska ) ) ) ) )"
what is the size of california ?	"_answer ( A , ( _size ( B , A ) , _const ( B , _stateid ( california ) ) ) )"
how many rivers are found in colorado ?	"_answer ( A , _count ( B , ( _river ( B ) , _loc ( B , C ) , _const ( C , _stateid ( colorado ) ) ) , A ) )"
what is the longest river in california ?	"_answer ( A , _longest ( A , ( _river ( A ) , _loc ( A , B ) , _const ( B , _stateid ( california ) ) ) ) )"
what is the capital of the alabama state ?	"_answer ( A , ( _capital ( A ) , _loc ( A , B ) , _const ( B , _stateid ( alabama ) ) , _state ( B ) ) )"
what texas city has the largest population ?	"_answer ( A , _largest ( B , ( _const ( C , _stateid ( texas ) ) , _city ( A ) , _loc ( A , C ) , _population ( A , B ) ) ) )"
what is the state with the lowest point ?	"_answer ( A , ( _state ( A ) , _loc ( B , A ) , _lowest ( B , _place ( B ) ) ) )"
people in boulder ?	"_answer ( A , ( _population ( B , A ) , _const ( B , _cityid ( boulder , _ ) ) ) )"
